Date,Status,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UP,UT,WB,Total
27 Mar,Confirmed,5,2,0,0,2,1,0,0,4,0,0,4,0,1,0,6,9,39,0,0,31,0,0,9.0,0,0,0,5,0,10,0,15,9,0,7,0,5,164
27 Mar,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,18,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,26
27 Mar,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
28 Mar,Confirmed,3,6,0,0,2,0,1,0,9,0,0,8,0,2,0,13,17,6,0,0,30,0,0,10.0,0,0,0,0,0,4,0,8,4,0,16,1,3,143
28 Mar,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
28 Mar,Deceased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
29 Mar,Confirmed,0,2,0,0,4,0,0,0,23,0,2,8,0,0,0,5,2,20,0,0,17,0,0,0.0,0,0,0,0,0,5,0,3,8,0,7,1,3,110
29 Mar,Recovered,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
29 Mar,Deceased,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
30 Mar,Confirmed,1,2,0,0,0,5,1,0,25,0,0,7,0,1,0,11,5,32,0,0,17,0,0,8.0,0,0,0,3,0,20,0,7,17,0,24,0,1,187
30 Mar,Recovered,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,4,0,0,14,0,0,0.0,0,0,0,0,0,0,0,13,2,0,6,1,0,49
30 Mar,Deceased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2.0,0,0,0,2,0,0,0,5,0,0,0,0,1,13
31 Mar,Confirmed,0,21,0,1,6,2,1,0,23,0,0,4,0,7,1,6,13,7,0,0,82,0,0,19.0,0,0,1,1,0,14,0,20,57,0,8,0,15,309
31 Mar,Recovered,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,3,15
31 Mar,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,6
01 Apr,Confirmed,0,67,0,15,3,2,0,0,32,0,0,13,0,0,0,7,9,24,0,0,33,0,0,32.0,0,0,1,4,2,27,0,30,110,0,13,0,0,424
01 Apr,Recovered,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,2,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,16
01 Apr,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.0,0,0,0,0,0,0,0,3,0,0,2,0,0,9
02 Apr,Confirmed,0,38,1,0,5,1,0,0,141,0,0,1,3,6,1,8,14,21,0,0,88,0,1,9.0,0,0,0,1,2,13,0,27,75,0,11,3,16,486
02 Apr,Recovered,0,0,0,0,3,0,1,0,2,0,0,5,0,0,0,1,2,2,0,0,3,0,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,22
02 Apr,Deceased,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
03 Apr,Confirmed,0,15,0,7,2,0,0,0,93,0,1,7,0,9,0,5,4,9,1,0,64,0,0,47.0,0,0,15,6,0,46,0,75,102,0,46,6,0,560
03 Apr,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0.0,0,0,1,0,0,0,0,15,0,0,0,0,0,38
03 Apr,Deceased,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,5,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,14
04 Apr,Confirmed,0,28,0,3,1,0,1,0,59,0,1,13,7,26,0,17,16,11,0,0,148,0,0,25.0,0,0,1,12,0,27,0,43,74,0,60,6,0,579
04 Apr,Recovered,0,0,0,0,0,3,0,0,8,0,0,3,0,1,0,0,0,8,0,0,2,0,0,0.0,0,0,0,2,0,22,0,1,2,0,4,0,0,56
04 Apr,Deceased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,3.0,0,0,0,0,0,1,0,0,2,0,0,0,0,13
05 Apr,Confirmed,0,64,0,0,0,0,0,0,58,0,0,20,1,6,1,14,7,8,0,0,112,0,0,14.0,0,0,18,3,0,60,0,62,86,0,44,4,27,609
05 Apr,Recovered,0,3,0,0,0,2,5,0,0,0,0,8,0,0,0,1,1,6,0,0,4,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,2,7,43
05 Apr,Deceased,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,2.0,0,0,0,2,0,0,0,0,2,0,1,0,0,22
06 Apr,Confirmed,0,47,0,0,0,0,0,0,22,0,0,18,4,20,1,3,12,13,0,0,121,0,0,63.0,0,0,1,11,0,35,0,30,50,1,27,5,0,484
06 Apr,Recovered,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,8,3,7,0,14,0,1,8.0,0,0,0,0,0,0,0,12,5,0,0,0,0,65
06 Apr,Deceased,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,7,0,0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,16
07 Apr,Confirmed,0,11,0,2,6,0,0,0,51,0,0,29,9,33,0,16,12,9,0,0,150,0,0,34.0,0,0,2,20,0,42,0,40,69,0,27,0,11,572
07 Apr,Recovered,0,0,0,0,6,2,1,0,4,0,0,3,1,2,0,0,5,12,0,0,9,0,0,10.0,0,0,0,10,1,0,0,0,6,0,0,0,3,75
07 Apr,Deceased,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,12,0,0,6.0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
08 Apr,Confirmed,1,34,0,0,1,0,0,0,93,0,0,11,0,24,0,33,6,9,0,0,117,0,0,51.0,0,0,0,7,0,40,0,49,48,0,29,4,8,565
08 Apr,Recovered,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,13,0,0,38,0,0,4.0,0,0,0,0,0,20,0,0,2,0,10,1,0,96
08 Apr,Deceased,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,8,0,0,3.0,0,0,0,1,0,1,0,0,1,0,1,0,2,20
09 Apr,Confirmed,0,15,0,1,19,0,8,0,51,0,0,76,1,3,9,26,16,12,0,0,229,0,0,70.0,0,0,6,24,0,80,0,18,96,0,49,0,4,813
09 Apr,Recovered,10,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,13,0,0,8,0,0,0.0,0,0,0,4,0,15,0,0,6,0,0,0,3,70
09 Apr,Deceased,0,2,0,0,0,0,0,0,3,0,0,2,0,0,1,1,1,0,0,0,25,0,0,9.0,0,0,0,1,0,0,0,1,0,0,0,0,0,46
10 Apr,Confirmed,0,18,0,0,2,1,0,0,183,0,0,116,0,6,1,23,10,7,1,0,210,0,0,40.0,0,0,2,21,2,98,0,16,77,1,23,0,13,871
10 Apr,Recovered,0,0,0,0,0,0,0,0,2,0,1,7,0,4,0,0,4,27,1,0,63,0,0,12.0,0,0,10,2,0,0,0,0,17,0,1,0,0,151
10 Apr,Deceased,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,12,0,0,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,22
11 Apr,Confirmed,0,24,0,0,4,0,7,0,166,0,0,90,4,3,3,17,8,10,0,0,187,0,0,78.0,0,0,4,7,0,139,0,16,58,0,19,0,10,854
11 Apr,Recovered,0,0,0,0,0,0,0,0,0,0,4,11,6,0,0,0,5,19,0,0,20,0,0,1.0,0,0,0,0,0,56,0,51,0,0,13,0,0,186
